State,cbsasub,areaname,median2017,lim50_17p1,lim50_17p2,lim50_17p3,lim50_17p4,lim50_17p5,lim50_17p6,lim50_17p7,lim50_17p8,Lim60_17p1,Lim60_17p2,Lim60_17p3,Lim60_17p4,Lim60_17p5,Lim60_17p6,Lim60_17p7,Lim60_17p8,HERA_Lim_type17,Lim50_HERA_17p1,Lim50_HERA_17p2,Lim50_HERA_17p3,Lim50_HERA_17p4,Lim50_HERA_17p5,Lim50_HERA_17p6,Lim50_HERA_17p7,Lim50_HERA_17p8,Lim60_HERA_17p1,Lim60_HERA_17p2,Lim60_HERA_17p3,Lim60_HERA_17p4,Lim60_HERA_17p5,Lim60_HERA_17p6,Lim60_HERA_17p7,Lim60_HERA_17p8,fips2010,statename,metro,county_town_name,stusps,county,county_name
6,NCNTY06043N06043,"Mariposa County, CA",65500,22950,26200,29500,32750,35400,38000,40650,43250,27540,31440,35400,39300,42480,45600,48780,51900,Regular,,,,,,,,,,,,,,,,,0604399999,CALIFORNIA,0,Mariposa County,CA,43,Mariposa County
6,NCNTY06045N06045,"Mendocino County, CA",59500,21050,24050,27050,30050,32500,34900,37300,39700,25260,28860,32460,36060,39000,41880,44760,47640,Regular,,,,,,,,,,,,,,,,,0604599999,CALIFORNIA,0,Mendocino County,CA,45,Mendocino County
6,METRO32900M32900,"Merced, CA MSA",48500,21000,24000,27000,29950,32350,34750,37150,39550,25200,28800,32400,35940,38820,41700,44580,47460,Regular,,,,,,,,,,,,,,,,,0604799999,CALIFORNIA,1,Merced County,CA,47,Merced County
6,NCNTY06049N06049,"Modoc County, CA",48000,21000,24000,27000,29950,32350,34750,37150,39550,25200,28800,32400,35940,38820,41700,44580,47460,Regular,,,,,,,,,,,,,,,,,0604999999,CALIFORNIA,0,Modoc County,CA,49,Modoc County
6,NCNTY06051N06051,"Mono County, CA",75800,26550,30350,34150,37900,40950,44000,47000,50050,31860,36420,40980,45480,49140,52800,56400,60060,Regular,,,,,,,,,,,,,,,,,0605199999,CALIFORNIA,0,Mono County,CA,51,Mono County
6,METRO41500M41500,"Salinas, CA MSA",63100,28500,32600,36650,40700,44000,47250,50500,53750,34200,39120,43980,48840,52800,56700,60600,64500,Regular,,,,,,,,,,,,,,,,,0605399999,CALIFORNIA,1,Monterey County,CA,53,Monterey County
6,METRO34900M34900,"Napa, CA MSA",91000,32600,37250,41900,46550,50300,54000,57750,61450,39120,44700,50280,55860,60360,64800,69300,73740,Regular,,,,,,,,,,,,,,,,,0605599999,CALIFORNIA,1,Napa County,CA,55,Napa County
6,NCNTY06057N06057,"Nevada County, CA",69600,26750,30550,34350,38150,41250,44300,47350,50400,32100,36660,41220,45780,49500,53160,56820,60480,Special,26850,30700,34550,38350,41450,44500,47600,50650,32220,36840,41460,46020,49740,53400,57120,60780,0605799999,CALIFORNIA,0,Nevada County,CA,57,Nevada County
6,METRO31080MM5945,"Santa Ana-Anaheim-Irvine, CA HUD Metro FMR Area",88000,36550,41750,46950,52150,56350,60500,64700,68850,43860,50100,56340,62580,67620,72600,77640,82620,Regular,,,,,,,,,,,,,,,,,0605999999,CALIFORNIA,1,Orange County,CA,59,Orange County
6,METRO40900M40900,"Sacramento--Roseville--Arden-Arcade, CA HUD Metro FMR Area",75200,26000,29700,33400,37100,40100,43050,46050,49000,31200,35640,40080,44520,48120,51660,55260,58800,Regular,,,,,,,,,,,,,,,,,0606199999,CALIFORNIA,1,Placer County,CA,61,Placer County
6,NCNTY06063N06063,"Plumas County, CA",62600,21950,25050,28200,31300,33850,36350,38850,41350,26340,30060,33840,37560,40620,43620,46620,49620,Regular,,,,,,,,,,,,,,,,,0606399999,CALIFORNIA,0,Plumas County,CA,63,Plumas County
6,METRO40140M40140,"Riverside-San Bernardino-Ontario, CA MSA",63200,22600,25800,29050,32250,34850,37450,40000,42600,27120,30960,34860,38700,41820,44940,48000,51120,Regular,,,,,,,,,,,,,,,,,0606599999,CALIFORNIA,1,Riverside County,CA,65,Riverside County
